artists,title,points,pos,max_pos,year_released,year_charts,weeks_top10,title_spotify,artist_spotify,id_spotify,match_score,image,tags
Pitbull feat. Ke$ha,Timber,49,34,2,2013,2013,6,Timber,"Pitbull, Kesha",3cHyrEgdyYRjgJKSOiOtcS,0.9646298289299012,https://i.scdn.co/image/ab67616d0000b273f2486b438645e97b523e4f90,"['pop', 'dance', 'party', '2013', 'timber']"
Ellie Goulding,Burn,46,35,4,2013,2013,9,Burn,Ellie Goulding,2GgxS8bUT5G25QJTsfSv0R,0.999999952316284,https://i.scdn.co/image/ab67616d0000b27360a98c3be4daffefe9014c7e,"['pop', 'electronic', 'ellie goulding', 'Burn', '2013']"
Eminem feat. Rihanna,The Monster,44,36,3,2013,2013,7,The Monster (feat. Rihanna),"Eminem, Rihanna",4CpZvP1Q66mXPhA3eWoDKB,1.0,https://i.scdn.co/image/ab67616d0000b273145454b151d01ca3305bbd60,"['rap', 'Hip-Hop', 'pop', 'Eminem', 'hip hop']"
John Newman,Love Me Again,39,37,6,2013,2013,9,Love Me Again,John Newman,5TbzAWWc5eJaANpA9kfGCd,1.0000000357627867,https://i.scdn.co/image/ab67616d0000b273b38d10a0f9eabec693d8f96e,"['pop', '2013', 'soul', 'summer', 'Love']"
Bastille,Pompeii,38,38,6,2013,2013,8,Pompeii,Bastille,6fNhZRFEkBfgW39W3wKARJ,1.0,https://i.scdn.co/image/ab67616d0000b273b89cf022db28fa31376e0ed8,
Beatrice Egli (DsdS 10),Mein Herz,36,39,1,2013,2013,3,Mein Herz,Beatrice Egli,1CINbWotyT3WDt9EDh3cww,1.0000000834465026,https://i.scdn.co/image/ab67616d0000b273fbb0a580a06888511e4de4a5,
Stromae,Papaoutai,32,40,6,2013,2013,8,Papaoutai,Stromae,34dx8DACTJsc3rsJdaEIQw,1.0000000834465026,https://i.scdn.co/image/ab67616d0000b273ab580fab750cc9baf0d52b5c,"['french', 'pop', 'dance', 'electronic', 'catchy']"
Pink,Try,31,41,3,2012,2013,4,Try,P!nk,1jF7IL57ayN4Ity3jQqGu0,1.0000001668930054,https://i.scdn.co/image/ab67616d0000b2739d0f0d226987b449808e7b6f,"['P!nk', 'pink', 'try', 'pop', 'Love']"
Lady Gaga,Applause,27,42,5,2013,2013,5,Applause,Lady Gaga,5ka2ajep9OAvU5Sgduhiex,1.0000001549720765,https://i.scdn.co/image/ab67616d0000b2737da123c944790bfab54b2522,"['pop', 'dance', 'artpop', 'electropop', 'applause']"
FAUL & Wad Ad vs. Pnau,Changes,27,43,1,2013,2013,3,Changes,"PNAU, Faul & Wad",3eTMWHfAxwRop0mAl1uOe5,0.9835138380527496,https://i.scdn.co/image/ab67616d0000b273eb338002c9bc54b909a4fbf4,"['House', 'electronic', 'dance', 'saxophone', 'deep house']"
Arash feat. Sean Paul,She Makes Me Go,26,44,5,2013,2013,5,She Makes Me Go (feat. Sean Paul) - Extended,"Arash, Sean Paul",5kP7gAZKsqV4bbRezOSI6c,0.7886443614959716,https://i.scdn.co/image/ab67616d0000b2732ed147388c7e8512e73347cd,"['dance', 'party', '2012', '2012 single', 'featuring']"
Family Of The Year,Hero,25,45,7,2013,2013,7,Hero,Family of the Year,1B10XgaxSXRLAFq967oMpF,1.0,https://i.scdn.co/image/ab67616d0000b273263e906ce0d9cfed22c5f8b6,"['indie', 'folk', '2013', 'boyhood', 'pop']"
Xavier Naidoo,Bei meiner Seele,21,46,2,2013,2013,3,Bei meiner Seele,Xavier Naidoo,6NriBxLnfs8biRUwrrQ4re,1.0000001668930054,https://i.scdn.co/image/ab67616d0000b273ada73f54f848ec2d72b674f0,"['deutsch', 'german', 'soul', 'catchy', 'Muse']"
